----
l_I: number of links between disease and dieases of same specialty
l_O: number of links between disease and diseases of different specialty
l_U: number of links between disease and unlabelled diseases

----
disease;specialty;l_I;l_O;l_U
multiple_myeloma;hematology;1;0;4
amyloidosis;hematology;0;0;0
rare-plasma-cell-leukemia;None;0;0;0
heavy-chain-diseases;None;0;0;0
b-cell-non-hodgkin-lymphoma;None;0;0;0
waldenström-macroglobulinemia;None;0;0;0
neuroblastoma;neurology;0;0;4
leukemia;None;0;0;0
ewing-s-sarcoma;None;0;0;0
juvenile-rheumatoid-arthritis;None;0;0;0
wilm-s-tumour;None;0;0;0
fibroids;gynecology;0;0;2
adenomyosis-;None;0;0;0
ovarian-cysts;None;0;0;0
laryngitis;otolaryngology;0;1;6
quamous-cell-carcinoma;None;0;0;0
nerve-injury;None;0;0;0
allergies;None;0;0;0
vocal-abuse;None;0;0;0
laryngeal-papillomatosis;None;0;0;0
gastroesophageal-reflux-disease;gastroenterology;0;0;0
neoplasia;None;0;0;0
migraine;neurology;3;0;2
subarachnoid-hemorrhage;neurology;0;0;0
temporal-arteritis;None;0;0;0
meningitis;neurology;1;8;3
cluster-headaches;neurology;0;0;0
acute-glaucoma;None;0;0;0
urticaria_(hives);dermatology;5;0;0
heat-rash;dermatology;0;0;0
rosacea;dermatology;4;1;0
eczema;dermatology;0;0;0
contact-dermatitis;dermatology;0;0;0
pityriasis-rosea;dermatology;0;0;0
lymphoedema;cardiology;0;0;6
obesity;None;0;0;0
chronic-venous-insufficiency;None;0;0;0
drug-induced-edema;None;0;0;0
lipedema-;None;0;0;0
generalized-myxedema;None;0;0;0
hypoalbuminemia;None;0;0;0
post-traumatic_stress_disorder_(ptsd);psychiatry;4;0;3
acute-stress-disorder;None;0;0;0
obsessive-compulsive-disorder;None;0;0;0
phobias;None;0;0;0
depression;psychiatry;2;5;6
substance-abuse;psychiatry;0;0;0
generalized-anxiety-disorder;psychiatry;0;0;0
panic_disorder;psychiatry;0;4;6
ovarian_cancer;gynecology;2;0;8
hydrosalpinx;None;0;0;0
salpingitis;None;0;0;0
appendiceal-neoplasm;None;0;0;0
uterine-leiomyoma;None;0;0;0
tubo-ovarian-abscess;gynecology;0;0;0
diverticular-abscess;None;0;0;0
leiomyosarcoma;None;0;0;0
fallopian-tube-carcinoma;None;0;0;0
choriocarcinoma-;None;0;0;0
ectopic-pregnancy;gynecology;0;0;0
arthritis;rheumatology;15;3;0
psoriatic-arthritis;rheumatology;8;0;0
lupus-;rheumatology;2;1;0
rheumatoid-arthritis;rheumatology;4;3;0
gout;rheumatology;0;0;2
fibromyalgia;rheumatology;1;1;3
osteoarthritis;rheumatology;8;3;0
adult-onset-still-s-disease;rheumatology;0;0;0
viral-arthritis;rheumatology;0;0;0
bursitis;orthopedy;0;0;0
lyme-disease;rheumatology;1;5;0
sle;rheumatology;0;0;0
sarcoidosis;pulmonology;0;0;0
scleroderma;dermatology;0;0;0
reactive-arthritis;rheumatology;6;1;0
enteropathic-arthritis;rheumatology;0;0;0
axial-spondyloarthritis;rheumatology;0;0;0
vasculitis-;rheumatology;0;0;0
ankylosing_spondylitis;rheumatology;1;1;2
kidney_cancer;nephrology;0;0;3
kidney-stones;None;0;3;1
respiratory-problems;None;0;0;0
urine-infection;None;0;0;0
urinary-tract-infection;urology;0;0;0
stomach-flu;gastroenterology;0;0;0
appendicitis;surgery;0;10;1
virus;None;0;0;0
hodgkin_lymphoma;hematology;0;5;6
toxoplasmosis;None;0;0;0
cytomegalovirus;None;0;0;0
tuberculosis;infectious disease;0;0;0
endodontic-lesion;endodontics;0;0;0
infectious-mononucleosis;infectious disease;0;0;0
small-cell-lung-cancer;None;0;0;0
serum-sickness;None;0;0;0
syphilis-;None;0;4;8
polymyalgia_rheumatica;rheumatology;3;1;4
non-hodgkin-s-lymphomas;None;0;2;0
cellulitis;dermatology;0;1;3
venous-eczema;None;0;0;0
irritant-dermatitis-;None;0;0;0
lipodermatosclerosis;None;0;0;0
liver_disease;hepatology;2;3;2
fatty-cirrhosis;hepatology;0;0;0
chronic-budd-chiari-syndrome;None;0;0;0
schistosomiasis;infectious disease;0;0;0
nonalcoholic-fatty-liver-hepatitis;hepatology;0;0;0
nodular-regenerative-hyperplasia;None;0;0;0
cholesteryl-ester-storage-disease;gastroenterology;0;0;0
shingles;dermatology;4;2;0
psoriasis;dermatology;7;1;3
measles;infectious disease;1;2;5
ringworm;dermatology;0;0;0
hives;allergology;0;0;0
