	disease	specialty 1	specialty 2
0	multiple_myeloma	hematology	oncology
1	amyloidosis	hematology	
2	laryngitis	otolaryngology	
3	migraine	neurology	
4	subarachnoid-hemorrhage	neurology	neurosurgery
5	urticaria_(hives)	dermatology	
6	heat-rash	dermatology	
7	post-traumatic_stress_disorder_(ptsd)	psychiatry	psychology
8	ovarian_cancer	gynecology	
9	arthritis	rheumatology	
10	psoriatic-arthritis	rheumatology	
11	hodgkin_lymphoma	hematology	oncology
12	liver_disease	hepatology	
13	fatty-cirrhosis	hepatology	
14	shingles	dermatology	
15	eczema	dermatology	
16	type_2_diabetes	endocrinology	
17	pancreatitis	gastroenterology	surgery
18	haemorrhoids_(piles)	gastroenterology	
19	multiple_sclerosis	neurology	
20	lupus-	rheumatology	
21	anorexia_nervosa	psychiatry	endocrinology
22	motor_neurone_disease_(mnd)	neurology	
23	lyme-disease	rheumatology	
24	blood_poisoning_(sepsis)	internal medicine	
25	pulmonary-embolism	cardiology	
26	common_heart_conditions	cardiology	
27	tuberculosis_(tb)	infectious disease	pulmonology
28	brucellosis	infectious disease	
29	parkinson's_disease	neurology	
30	hiv	infectious disease	
31	irritable_bowel_syndrome_(ibs)	gastroenterology	
32	skin_cancer_(melanoma)	dermatology	oncology
33	psoriasis	dermatology	
34	testicular_cancer	urology	oncology
35	spleen_problems_and_spleen_removal	hematology	
36	schistosomiasis	infectious disease	urology
37	fibromyalgia	rheumatology	
38	encephalitis	neurology	infectious disease
39	kawasaki-disease	infectious disease	cardiology
40	hepatitis_c	hepatology	gastroenterology
41	hepatitis-a	hepatology	gastroenterology
42	bile_duct_cancer_(cholangiocarcinoma)	hepatology	
43	asthma	allergology	immunology
44	gastroesophageal-reflux-disease	gastroenterology	
45	pancreatic_cancer	gastroenterology	oncology
46	hiatus_hernia	gastroenterology	surgery
47	stroke	neurology	
48	oral_thrush_in_adults	otolaryngology	
49	coated-or-white-tongue	endodontics	otolaryngology
50	gonorrhoea	infectious disease	
51	meningitis	neurology	infectious disease
52	epilepticus	neurology	
53	slapped_cheek_syndrome	GP / pediatry	
54	roseola	GP / pediatry	
55	dysphagia_(swallowing_problems)	otolaryngology	
56	heart-disease	cardiology	
57	urinary_tract_infection_(uti)	urology	
